scenario,seed,method,mae,coverage,gross_error_rate,apnea_false_output,step_latency
clean,0,threshold,0.06280229498679342,1.0,0.0,nan,nan
clean,0,consensus,0.024124975239528806,1.0,0.0,nan,nan
clean,0,hybrid,0.04327404651648528,1.0,0.0,nan,nan
clean,1,threshold,0.07239695452970465,1.0,0.0,nan,nan
clean,1,consensus,0.025932969555589658,1.0,0.0,nan,nan
clean,1,hybrid,0.049537414991124226,1.0,0.0,nan,nan
clean,2,threshold,0.06516232622849051,1.0,0.0,nan,nan
clean,2,consensus,0.02499652741453719,1.0,0.0,nan,nan
clean,2,hybrid,0.04535902648373194,1.0,0.0,nan,nan
clean,3,threshold,0.09025883662422383,1.0,0.0,nan,nan
clean,3,consensus,0.025526455463295374,1.0,0.0,nan,nan
clean,3,hybrid,0.058723440961067866,1.0,0.0,nan,nan
clean,4,threshold,0.07507013531041665,1.0,0.0,nan,nan
clean,4,consensus,0.023412279363333136,1.0,0.0,nan,nan
clean,4,hybrid,0.052213573818168976,1.0,0.0,nan,nan
clean,5,threshold,0.049971874084463505,1.0,0.0,nan,nan
clean,5,consensus,0.025988456566955566,1.0,0.0,nan,nan
clean,5,hybrid,0.03755318018436542,1.0,0.0,nan,nan
clean,6,threshold,0.10268469853312259,1.0,0.0,nan,nan
clean,6,consensus,0.023601444640038747,1.0,0.0,nan,nan
clean,6,hybrid,0.06905071537027604,1.0,0.0,nan,nan
clean,7,threshold,0.05764582891161027,1.0,0.0,nan,nan
clean,7,consensus,0.02141764496374948,1.0,0.0,nan,nan
clean,7,hybrid,0.04223521430139113,1.0,0.0,nan,nan
clean,8,threshold,0.11010627008382912,1.0,0.0,nan,nan
clean,8,consensus,0.024020888804923406,1.0,0.0,nan,nan
clean,8,hybrid,0.07314383652783811,1.0,0.0,nan,nan
clean,9,threshold,0.08513420049609625,1.0,0.0,nan,nan
clean,9,consensus,0.02445671181713429,1.0,0.0,nan,nan
clean,9,hybrid,0.05831763514705145,1.0,0.0,nan,nan
clean,10,threshold,0.08761867254578594,1.0,0.0,nan,nan
clean,10,consensus,0.02568021677512332,1.0,0.0,nan,nan
clean,10,hybrid,0.05985883132989772,1.0,0.0,nan,nan
clean,11,threshold,0.062552849295801,1.0,0.0,nan,nan
clean,11,consensus,0.02441004699473113,1.0,0.0,nan,nan
clean,11,hybrid,0.04473099314196784,1.0,0.0,nan,nan
clean,12,threshold,0.0523000753791024,1.0,0.0,nan,nan
clean,12,consensus,0.024322177408907682,1.0,0.0,nan,nan
clean,12,hybrid,0.03900060452082544,1.0,0.0,nan,nan
